recording_index,timestamp,mcift_score,conventional_score,mcift_positive,conventional_positive
0,2004.02.12.10.32.39,0.1798350838951817,5.287984033279038,False,False
1,2004.02.12.10.42.39,0.29761203505694184,3.3467389360790407,False,False
2,2004.02.12.10.52.39,0.3117311492993738,4.373311053380506,False,False
3,2004.02.12.11.02.39,0.32626522594851964,12.216047572851462,False,True
4,2004.02.12.11.12.39,0.2208503237046386,1.8526277225377759,False,False
5,2004.02.12.11.22.39,0.32068775965778956,2.912801868289766,False,False
6,2004.02.12.11.32.39,0.33526522150304383,2.25930123705732,True,False
7,2004.02.12.11.42.39,0.3034506989751785,2.1246968782538618,False,False
8,2004.02.12.11.52.39,0.13176770216891756,4.044378844350045,False,False
9,2004.02.12.12.02.39,0.21846800313367679,3.066803580700865,False,False
10,2004.02.12.12.12.39,0.24300954553106568,1.4617810659264463,False,False
11,2004.02.12.12.22.39,0.19377557602602144,2.6610046401268432,False,False
12,2004.02.12.12.32.39,0.08121272464050405,2.8228690655813926,False,False
13,2004.02.12.12.42.39,0.28306736281255984,1.9949329524908257,False,False
14,2004.02.12.12.52.39,0.23549327981366286,1.303990317848535,False,False
15,2004.02.12.13.02.39,0.2834461594577913,1.2028362825506458,False,False
16,2004.02.12.13.12.39,0.13833286103531434,1.9364412126908723,False,False
17,2004.02.12.13.22.39,0.22059333659789293,2.558741996978033,False,False
18,2004.02.12.13.32.39,0.15686319997608314,3.1422339143672886,False,False
19,2004.02.12.13.42.39,0.2435831089173937,2.791007558252397,False,False
20,2004.02.12.13.52.39,0.1747453783828721,1.5402041602100522,False,False
21,2004.02.12.14.02.39,0.21578932541930299,1.532951676325907,False,False
22,2004.02.12.14.12.39,0.2870120735569379,1.959348258803411,False,False
23,2004.02.12.14.22.39,0.1520499490261161,2.073723499178773,False,False
24,2004.02.12.14.32.39,0.06218066449658797,3.5011501328166075,False,False
25,2004.02.12.14.42.39,0.14150330143934334,2.539894403989695,False,False
26,2004.02.12.14.52.39,0.15411847642848156,1.1122887042582104,False,False
27,2004.02.12.15.02.39,0.20471034391184323,2.423225238103417,False,False
28,2004.02.12.15.12.39,0.15675514950575611,2.934907045701948,False,False
29,2004.02.12.15.22.39,0.16451480912982036,2.2211248212846217,False,False
30,2004.02.12.15.32.39,0.26278748900971155,1.8059886699966867,False,False
31,2004.02.12.15.42.39,0.3174441595430333,2.1876181572149815,False,False
32,2004.02.12.15.52.39,0.15718010859351259,1.8929256798214145,False,False
33,2004.02.12.16.02.39,0.08084171297439431,1.7448047586804116,False,False
34,2004.02.12.16.12.39,0.27055973160318786,2.2561721616223407,False,False
35,2004.02.12.16.22.39,0.10347754240804193,1.6332710126168803,False,False
36,2004.02.12.16.32.39,0.1262237494348656,2.1584372307354234,False,False
37,2004.02.12.16.42.39,0.13804335087010877,1.9598308715775985,False,False
38,2004.02.12.16.52.39,0.1028399850993787,2.219292176342346,False,False
39,2004.02.12.17.02.39,0.11599604651123716,3.120301393096228,False,False
40,2004.02.12.17.12.39,0.13763565898178,2.2120506120828223,False,False
41,2004.02.12.17.22.39,0.11584709266876944,1.0550229219243163,False,False
42,2004.02.12.17.32.39,0.09799482390094717,1.4066222069170728,False,False
43,2004.02.12.17.42.39,0.12686405434270515,1.4620451878992493,False,False
44,2004.02.12.17.52.39,0.18459439817461806,4.552957387240247,False,False
45,2004.02.12.18.02.39,0.1484582164428267,1.1826687289452646,False,False
46,2004.02.12.18.12.39,0.07889401957490136,2.1540188770381614,False,False
47,2004.02.12.18.22.39,0.133361625883409,3.2014794012661034,False,False
48,2004.02.12.18.32.39,0.1472696779134254,2.772263254247009,False,False
49,2004.02.12.18.42.39,0.1853383060922766,2.2602331616665174,False,False
50,2004.02.12.18.52.39,0.12334449371207094,1.0622716174662137,False,False
51,2004.02.12.19.02.39,0.15599512735999127,1.8429981069568453,False,False
52,2004.02.12.19.12.39,0.24600817228996047,4.139340551308424,False,False
53,2004.02.12.19.22.39,0.29926703316399084,3.7141222900280253,False,False
54,2004.02.12.19.32.39,0.15152531903193125,1.5601693247251678,False,False
55,2004.02.12.19.42.39,0.1454070604154986,2.756003550539139,False,False
56,2004.02.12.19.52.39,0.13265522978060784,2.127765926307165,False,False
57,2004.02.12.20.02.39,0.24315833030560657,2.3831584025529957,False,False
58,2004.02.12.20.12.39,0.1362847749427324,2.688363360800952,False,False
59,2004.02.12.20.22.39,0.2978980321399458,2.638226211474481,False,False
60,2004.02.12.20.32.39,0.08585201126365206,3.6877023784805685,False,False
